GeneA	GeneA#	GeneB	GeneB#	GeneAB	GeneAB#	p-value
HCN	1045	RDX	1419	HCN_RDX	1	1.0
PPZ1	5	cdc7	20	PPZ1_cdc7	0	1.0
ITI-HC3	2	inter-a-trypsin inhibitor heavy chain H3	1	ITI-HC3_inter-a-trypsin inhibitor heavy chain H3	1	1.0
5-lipoxygenase	1673	TxS	1	5-lipoxygenase_TxS	0	1.0
Erk1/2	2489	syndecan-3	74	Erk1/2_syndecan-3	1	1.0
YAP	4438	mTORC2	2910	YAP_mTORC2	3	0.718185815663
TP53	12522	hPMS2	65	TP53_hPMS2	2	1.0
TNFa	18783	interleukin1b	9	TNFa_interleukin1b	3	0.99999999992
COX-1	3159	COX-3	23	COX-1_COX-3	6	0.99999334793
SIRT-1	209	insulin	78952	SIRT-1_insulin	1	1.0
SOCS	737	rIL-1b	12	SOCS_rIL-1b	1	1.0
Id1	1314	Shh	5094	Id1_Shh	1	1.0
Apoa4	20	PPARbeta	126	Apoa4_PPARbeta	1	1.0
RPL35A	16	rpl27	2	RPL35A_rpl27	1	1.0
RBBP8	42	SCKL6	1	RBBP8_SCKL6	0	1.0
Aurora A	1058	Mos	122	Aurora A_Mos	1	1.0
IKZF3	98	TNF signaling and B	1	IKZF3_TNF signaling and B	0	1.0
EGR1	1148	heterogeneous nuclear ribonucleoprotein K	71	EGR1_heterogeneous nuclear ribonucleoprotein K	1	1.0
activin	819	dFOXO	82	activin_dFOXO	1	1.0
CDK1	1720	LTB4R2	10	CDK1_LTB4R2	1	1.0
Bach1	390	Nuclear factor erythroid 2-like 2	3	Bach1_Nuclear factor erythroid 2-like 2	0	1.0
Aurora B	1386	CIT-K	20	Aurora B_CIT-K	1	1.0
ITGA9	83	integrin alpha RLC	1	ITGA9_integrin alpha RLC	0	1.0
ZIP9	59	hZip9	1	ZIP9_hZip9	0	1.0
ZAP-70	1047	bcl2	289	ZAP-70_bcl2	1	1.0
AhR	6620	UDP-glucuronosyltransferase (UGT) 1A1	18	AhR_UDP-glucuronosyltransferase (UGT) 1A1	1	1.0
Kv(b1-3	1	Kv9.3	11	Kv(b1-3_Kv9.3	0	1.0
CNGB3	160	ELOVL4	212	CNGB3_ELOVL4	1	1.0
PIF1	200	PIF3	134	PIF1_PIF3	7	0.0405407343679
CCL2	7166	IRBP	789	CCL2_IRBP	2	1.0
gata4	42	igf2b	18	gata4_igf2b	1	1.0
CFL	32	actin-depolymerizing factor/cofilin (ADF/CFL)	1	CFL_actin-depolymerizing factor/cofilin (ADF/CFL)	0	1.0
IL-6	85727	receptor-interacting protein (RIP) 1 and 3	2	IL-6_receptor-interacting protein (RIP) 1 and 3	1	1.0
CPT1	332	FABP7	297	CPT1_FABP7	1	1.0
CYC1	226	SSY5	9	CYC1_SSY5	1	1.0
SR-B1	404	scavenger receptor class B type 1	31	SR-B1_scavenger receptor class B type 1	12	0.943923344547
Npt2a	102	c-fos	4837	Npt2a_c-fos	1	1.0
CRMP-2	290	myosin regulatory light chain 2	13	CRMP-2_myosin regulatory light chain 2	1	1.0
THAP11	84	c-myc	6076	THAP11_c-myc	1	1.0
JAM	40	Just-a-Minute	1	JAM_Just-a-Minute	0	1.0
IFN-b	4657	MUC18	209	IFN-b_MUC18	1	1.0
Sclerostin	555	low-density lipoprotein receptor-related protein 6	51	Sclerostin_low-density lipoprotein receptor-related protein 6	1	1.0
Pregnancy-specific beta 1-glycoprotein	5	pregnancy-specific beta 1-glycoprotein	25	Pregnancy-specific beta 1-glycoprotein_pregnancy-specific beta 1-glycoprotein	2	1.0
PAR1	2054	TFF2	491	PAR1_TFF2	2	1.0
angiotensinogen	1448	matrix metalloproteinase 7	103	angiotensinogen_matrix metalloproteinase 7	1	1.0
CHK2	477	Terc	123	CHK2_Terc	1	1.0
MMP-2/9i	2	MMP-9	26323	MMP-2/9i_MMP-9	1	1.0
alpha 1 (I), alpha 2 (I) and alpha 1	1	alpha 1 (I), alpha 2 (I) and alpha 1 (III) collagen	1	alpha 1 (I), alpha 2 (I) and alpha 1_alpha 1 (I), alpha 2 (I) and alpha 1 (III) collagen	1	1.0
FGF2	3713	SOCS3	3338	FGF2_SOCS3	2	1.0
FAIM2	98	interleukin 18 receptor 1	3	FAIM2_interleukin 18 receptor 1	1	1.0
ASTN1	23	CLIP1	11	ASTN1_CLIP1	1	1.0
CDK1	1720	TMEM9	10	CDK1_TMEM9	1	1.0
Atp2p	1	Trx1p	1	Atp2p_Trx1p	1	1.0
IL11RA	27	SULF1	187	IL11RA_SULF1	1	1.0
EP4	2057	GSK-3b	6335	EP4_GSK-3b	3	nan
TNF	30309	glycodelin A	19	TNF_glycodelin A	1	1.0
Shp	158	Shp2	945	Shp_Shp2	1	1.0
Cyp11a1	244	c-Jun amino-terminal kinase 1	4	Cyp11a1_c-Jun amino-terminal kinase 1	1	1.0
APP/PS1	539	PS1(A246E	3	APP/PS1_PS1(A246E	1	1.0
HLA-G	3538	interferon (IFN) y	4	HLA-G_interferon (IFN) y	0	1.0
Ctnnb1	268	Msx2	523	Ctnnb1_Msx2	1	1.0
KOR	1161	dynorphin A (1-8	1	KOR_dynorphin A (1-8	0	1.0
IQUB	2	JAM2	30	IQUB_JAM2	1	1.0
Dur3	2	Sam3	4	Dur3_Sam3	1	1.0
PTH	22366	p13	400	PTH_p13	1	1.0
SLC10A2	66	Vcam1	49	SLC10A2_Vcam1	1	1.0
IL2	2822	heme-oxygenase 1	42	IL2_heme-oxygenase 1	1	1.0
C12ORF52	1	recombination signal sequence-binding protein J	1	C12ORF52_recombination signal sequence-binding protein J	1	1.0
hBD-3	391	hBD2	309	hBD-3_hBD2	2	1.0
PKK	37	TP63	450	PKK_TP63	1	1.0
K(Ca)1.1	35	K(Ca)2.2	2	K(Ca)1.1_K(Ca)2.2	0	1.0
Heat shock protein (HSP)60	1	Toll  -like receptor (TLR)-4	1	Heat shock protein (HSP)60_Toll  -like receptor (TLR)-4	1	1.0
CBP	2699	glut3	41	CBP_glut3	1	1.0
PMS2	980	TGF-bR1	58	PMS2_TGF-bR1	1	1.0
KDM5C	185	mammalian target of rapamycin	5804	KDM5C_mammalian target of rapamycin	2	1.0
Thf	2	Toll-like receptor 4	2584	Thf_Toll-like receptor 4	0	1.0
Abca1	189	Slc38a1	25	Abca1_Slc38a1	1	1.0
Casp12	17	mammalian target of rapamycin	5804	Casp12_mammalian target of rapamycin	1	1.0
IL-10RA	58	TNFa	18783	IL-10RA_TNFa	1	1.0
BBS7	32	MKS1	67	BBS7_MKS1	1	1.0
TLR2/4	328	c-Fos	5544	TLR2/4_c-Fos	1	1.0
ADIPOQ	1073	APOE	6192	ADIPOQ_APOE	1	1.0
H2AFX	69	HLTF	174	H2AFX_HLTF	3	nan
CD45	7055	Cd20	15	CD45_Cd20	1	1.0
G6PC2	149	ZMAT4	9	G6PC2_ZMAT4	0	1.0
Ccl20	60	Mfge8	87	Ccl20_Mfge8	1	1.0
ALR-1	7	MEC-3	9	ALR-1_MEC-3	1	1.0
CLD	8	acyl-CoA synthetase long-chain family member 5	5	CLD_acyl-CoA synthetase long-chain family member 5	1	1.0
RAR	760	retinoid X receptor	282	RAR_retinoid X receptor	15	0.0427139265196
FGF-4	55	FZD-9	8	FGF-4_FZD-9	2	1.0
IL-1ra	1076	interferon gamma, IL-13, tumor necrosis factor beta	1	IL-1ra_interferon gamma, IL-13, tumor necrosis factor beta	0	1.0
24OHase	18	vitamin D receptor	3153	24OHase_vitamin D receptor	1	1.0
GPx-1	353	p38 MAPK	2261	GPx-1_p38 MAPK	1	1.0
Growth Hormone	433	TGFBIp	328	Growth Hormone_TGFBIp	1	1.0
DmUsp	1	ecdysone receptor	45	DmUsp_ecdysone receptor	0	1.0
MGMT	6011	Musashi-1	250	MGMT_Musashi-1	2	1.0
DPP II	38	dipeptidyl peptidase	6	DPP II_dipeptidyl peptidase	1	1.0
Cox-2	1337	cPLA(2)	331	Cox-2_cPLA(2)	1	1.0
Oncostatin M	189	eIF2a	2731	Oncostatin M_eIF2a	1	1.0
corticotropin-releasing factor	1163	pgk-1	20	corticotropin-releasing factor_pgk-1	1	1.0
MCP-1	14199	ZO-1 and occludin	87	MCP-1_ZO-1 and occludin	2	1.0
CDK12	119	Cyclin-dependent kinase 9	16	CDK12_Cyclin-dependent kinase 9	1	1.0
O-GlcNAc	1363	ST6GAL1	114	O-GlcNAc_ST6GAL1	1	1.0
MHC class I antigen	157	insulin-degrading enzyme	252	MHC class I antigen_insulin-degrading enzyme	1	1.0
alanine aminotransferase	918	interleukin-1 b	54	alanine aminotransferase_interleukin-1 b	1	1.0
DBA/2	77	cholera toxin b-subunit	2	DBA/2_cholera toxin b-subunit	1	1.0
PI3	272	pCD	8	PI3_pCD	1	1.0
GluN2B	1879	N-methyl D-aspartate receptor subtype 2B	3	GluN2B_N-methyl D-aspartate receptor subtype 2B	1	1.0
lactoferrin	1540	sPLA2	1015	lactoferrin_sPLA2	1	1.0
Estrogen receptor-a	69	estrogen receptor a	1173	Estrogen receptor-a_estrogen receptor a	2	1.0
Furin	244	interleukin-1b	4986	Furin_interleukin-1b	1	1.0
MMP-1, 2 and 3	3	MMP-2 and 3	1	MMP-1, 2 and 3_MMP-2 and 3	1	1.0
Jun kinase	52	Oxidation resistance 1	4	Jun kinase_Oxidation resistance 1	1	1.0
Lgl	117	TSG	300	Lgl_TSG	1	1.0
Cip1	1245	ZO-1	2637	Cip1_ZO-1	1	1.0
IL-1b	41384	IkB kinase b	88	IL-1b_IkB kinase b	3	0.999999990684
Slit2	791	mInsc	56	Slit2_mInsc	1	1.0
JNK	18403	jnk2	39	JNK_jnk2	6	0.999999824825
nNOS	5662	neurokinin 1	59	nNOS_neurokinin 1	1	1.0
Caspase-3, 8 and 9	2	FasL	4490	Caspase-3, 8 and 9_FasL	1	1.0
Bcl2l1	38	Hspa1a	36	Bcl2l1_Hspa1a	1	1.0
EL4	344	annexin-V	682	EL4_annexin-V	1	1.0
Glyoxalase II	6	glyoxalase II	59	Glyoxalase II_glyoxalase II	1	1.0
N-Ras	315	receptor tyrosine kinase	689	N-Ras_receptor tyrosine kinase	1	1.0
SIRT-1	209	peroxisome proliferator-activated receptor y	348	SIRT-1_peroxisome proliferator-activated receptor y	1	1.0
Gsta3	9	Tfrc	44	Gsta3_Tfrc	1	1.0
CTCL	1525	Special AT-rich sequence-binding protein-1	11	CTCL_Special AT-rich sequence-binding protein-1	1	1.0
COX2	2146	tumor-necrosis factor	42	COX2_tumor-necrosis factor	1	1.0
UDP glucuronosyltransferase 1A1	4	UGT1A1	3365	UDP glucuronosyltransferase 1A1_UGT1A1	1	1.0
HMGA2	2065	IMP1	134	HMGA2_IMP1	2	1.0
ATPase	4968	DNA topoisomerase I	52	ATPase_DNA topoisomerase I	1	1.0
claudin-1, -2, -4, and -7	1	claudin-2	580	claudin-1, -2, -4, and -7_claudin-2	0	1.0
PHD2 and 3	2	PHD3	568	PHD2 and 3_PHD3	1	1.0
RPL31	27	RPS3A	10	RPL31_RPS3A	1	1.0
Egr-1	2098	OPN	8753	Egr-1_OPN	1	1.0
GH receptors	3	growth hormone receptor	385	GH receptors_growth hormone receptor	1	1.0
GABA-BR1	4	GABA-BR2	1	GABA-BR1_GABA-BR2	0	1.0
FKTN	54	MYLK	149	FKTN_MYLK	1	1.0
MECP2	1629	PCSK9	5091	MECP2_PCSK9	1	1.0
At1g75690	2	At4g35760	3	At1g75690_At4g35760	1	1.0
IL-17	20062	IL17C	16	IL-17_IL17C	1	1.0
Cyp26a1	79	TGF-b1	25265	Cyp26a1_TGF-b1	1	1.0
Erythropoietin	1964	PEPCK	1409	Erythropoietin_PEPCK	2	1.0
INS-1	1259	LKB1	3453	INS-1_LKB1	1	1.0
WDR62	188	c-Jun N-terminal kinase	1851	WDR62_c-Jun N-terminal kinase	3	nan
CALM	330	calmodulin 2	2	CALM_calmodulin 2	1	1.0
A1AT	834	ApoA1	808	A1AT_ApoA1	1	1.0
p24a	1	p24b	2	p24a_p24b	1	1.0
cytochrome c	7778	mBDNF	114	cytochrome c_mBDNF	1	1.0
Abl	1064	SCAR/WAVE	16	Abl_SCAR/WAVE	1	1.0
EIF2S2	7	MAPT	1326	EIF2S2_MAPT	0	1.0
CASS >= 1	1	CASS >= 4	1	CASS >= 1_CASS >= 4	1	1.0
Atg5	1223	autophagy related gene 5	5	Atg5_autophagy related gene 5	4	0.99999986864
Phosphoglycerate kinase-1	4	miR-145	2772	Phosphoglycerate kinase-1_miR-145	0	1.0
C/EBP	1332	TIMP-2	3134	C/EBP_TIMP-2	1	1.0
General linear model	8	p  <  1	6	General linear model_p  <  1	1	1.0
CAV3	82	neural nitric oxide synthase	16	CAV3_neural nitric oxide synthase	1	1.0
COL18A1	81	E(y)2	7	COL18A1_E(y)2	1	1.0
CD276	64	FN1	571	CD276_FN1	1	1.0
Fads1	54	Fasn	160	Fads1_Fasn	1	1.0
Atg5	1223	Caspase 9	108	Atg5_Caspase 9	1	1.0
IFNb	1605	PAF receptor	116	IFNb_PAF receptor	1	1.0
MDC1	537	vimentin	12287	MDC1_vimentin	1	1.0
KGF	987	Oct-3/4	156	KGF_Oct-3/4	1	1.0
Nanos2	67	dmrt1	74	Nanos2_dmrt1	1	1.0
FANCL	106	Rfwd2	7	FANCL_Rfwd2	1	1.0
miR-4448	5	miR-93	659	miR-4448_miR-93	0	1.0
C1r	346	CD166	729	C1r_CD166	1	1.0
FBXO44	14	RGS2	779	FBXO44_RGS2	1	1.0
ISKpn6-like transposase	1	KPC-2	626	ISKpn6-like transposase_KPC-2	0	1.0
LHX-4	1	PROP1	267	LHX-4_PROP1	0	1.0
Cytochrome P450	598	Nrf2	23240	Cytochrome P450_Nrf2	1	1.0
BCRP	2998	G protein-coupled receptor 55	28	BCRP_G protein-coupled receptor 55	1	1.0
CD62L and myeloperoxidase	1	myeloperoxidase	7714	CD62L and myeloperoxidase_myeloperoxidase	0	1.0
Synectin	16	myosin-VI	17	Synectin_myosin-VI	1	1.0
HDM2	469	SOX6	232	HDM2_SOX6	1	1.0
Rage	99	interleukin-1b	4986	Rage_interleukin-1b	1	1.0
Cxcl11	13	growth hormone	11636	Cxcl11_growth hormone	1	1.0
LSDP5	24	adipophilin	252	LSDP5_adipophilin	1	1.0
Ankrd 13	7	EGFR	77183	Ankrd 13_EGFR	1	1.0
IL-6	85727	mTORC1/signal transducer and activator of transcription 3	1	IL-6_mTORC1/signal transducer and activator of transcription 3	0	1.0
CD205	107	RhoA-specific guanine nucleotide exchange factor	2	CD205_RhoA-specific guanine nucleotide exchange factor	1	1.0
IL-2	28806	Tripartite motif-containing protein 30	1	IL-2_Tripartite motif-containing protein 30	0	1.0
MCM2	397	RAD51	2624	MCM2_RAD51	1	1.0
TLR2	11596	miR-4520b	1	TLR2_miR-4520b	0	1.0
Cyt. c	3	Cytochrome c	410	Cyt. c_Cytochrome c	1	1.0
MTA3 and estrogen receptor alpha	1	beta (ER-alpha	1	MTA3 and estrogen receptor alpha_beta (ER-alpha	1	1.0
EPO receptor	71	aquaporin-4	1309	EPO receptor_aquaporin-4	1	1.0
NcoR	18	RXR	1406	NcoR_RXR	1	1.0
TNF-<alpha	8	miR-34a	4042	TNF-<alpha_miR-34a	1	1.0
KU80	47	p21	16739	KU80_p21	1	1.0
CAIX	1363	epidermal growth factor receptor 2	2836	CAIX_epidermal growth factor receptor 2	1	1.0
EID3	7	hNSE3	2	EID3_hNSE3	1	1.0
Eomes	382	GM-CSF	11085	Eomes_GM-CSF	1	1.0
Otx2	570	Pax2	527	Otx2_Pax2	4	0.0302799265436
ANP	2710	PGC-1a	5868	ANP_PGC-1a	1	1.0
ER-a	1085	PRb	23	ER-a_PRb	1	1.0
MMP2	3790	SPA-1	11	MMP2_SPA-1	1	1.0
pyruvate kinase M2 and vascular endothelial growth factor-C	1	vascular endothelial growth factor-C	192	pyruvate kinase M2 and vascular endothelial growth factor-C_vascular endothelial growth factor-C	0	1.0
CRP	35335	RTP	111	CRP_RTP	1	1.0
FasL	4490	tumor necrosis factor ligand superfamily member 6	1	FasL_tumor necrosis factor ligand superfamily member 6	0	1.0
Thymic stromal lymphopoietin	149	tumor necrosis factor alpha	4097	Thymic stromal lymphopoietin_tumor necrosis factor alpha	2	1.0
Signaling lymphocyte activation molecule (Slamf)1	1	Slamf1	67	Signaling lymphocyte activation molecule (Slamf)1_Slamf1	0	1.0
Angpt2	79	Tie2	1869	Angpt2_Tie2	8	nan
CENTB1	5	DUBA	21	CENTB1_DUBA	1	1.0
apolipoprotein A-I	1571	zinc finger protein 202	3	apolipoprotein A-I_zinc finger protein 202	1	1.0
PDHA1	154	SLC19A3	153	PDHA1_SLC19A3	1	1.0
ERK1/2	22605	MAPK1/2	14	ERK1/2_MAPK1/2	2	1.0
CTNND1	64	MDH)1	1	CTNND1_MDH)1	0	1.0
GPR56	353	SOX8	61	GPR56_SOX8	1	1.0
CRP	35335	CRP and IFN-y	1	CRP_CRP and IFN-y	0	1.0
RANTES	3587	interleukin-6	13580	RANTES_interleukin-6	44	nan
LGMD1D	36	LGMD2O	4	LGMD1D_LGMD2O	2	1.0
kallikrein 1	15	matrix metallopeptidase 7	9	kallikrein 1_matrix metallopeptidase 7	1	1.0
DOK7	115	Sp1	5699	DOK7_Sp1	1	1.0
ANK	291	ClipR-59	50	ANK_ClipR-59	1	1.0
URG4	141	tumor necrosis factor-a	6982	URG4_tumor necrosis factor-a	1	1.0
interleukin-2	5606	neu	1093	interleukin-2_neu	4	0.974735692226
Interleukin-27	119	lymphocyte activation gene 3	22	Interleukin-27_lymphocyte activation gene 3	1	1.0
BTK	1337	LFA-1	2373	BTK_LFA-1	1	1.0
IkB kinase a	37	Smad4	2420	IkB kinase a_Smad4	0	1.0
Fatty Acid Binding Protein 4	7	promoter--adipocyte Protein 2	1	Fatty Acid Binding Protein 4_promoter--adipocyte Protein 2	1	1.0
HB-EGF	1861	miR-96	644	HB-EGF_miR-96	1	1.0
PPARgamma	1838	RARgamma	26	PPARgamma_RARgamma	1	1.0
Brahma-related gene 1	37	TNF-alpha	14374	Brahma-related gene 1_TNF-alpha	1	1.0
CTLA4	2317	ED-B	164	CTLA4_ED-B	1	1.0
ACVRL1	277	KCNK3	122	ACVRL1_KCNK3	5	0.611430020805
PU.1	1518	Tcf7	68	PU.1_Tcf7	1	1.0
Casp2	80	superoxide 2	1	Casp2_superoxide 2	0	1.0
Foxo1	749	TRB3	434	Foxo1_TRB3	3	0.806019821202
PGC-1a	5868	protein arginine methyltransferase 1	49	PGC-1a_protein arginine methyltransferase 1	1	1.0
SMN1	1107	VEGF	74829	SMN1_VEGF	1	1.0
Mincle	307	TNFR1	2515	Mincle_TNFR1	1	1.0
APOC3	455	APOE  2	21	APOC3_APOE  2	1	1.0
STATs 1 and 3	10	interferon regulatory factor 2	9	STATs 1 and 3_interferon regulatory factor 2	1	1.0
TSP-1	1931	angiotensin II type 1 receptor	824	TSP-1_angiotensin II type 1 receptor	1	1.0
Xenopus nodal related 1	1	retinol dehydrogenase 10	10	Xenopus nodal related 1_retinol dehydrogenase 10	0	1.0
miR-139	201	miR-152	412	miR-139_miR-152	1	1.0
RhoA	10528	ephrinB3	91	RhoA_ephrinB3	2	1.0
Alf	45	RFX2	39	Alf_RFX2	1	1.0
IL-28Ra	19	TLR2	11596	IL-28Ra_TLR2	1	1.0
MDM2	8121	TWIST1	1141	MDM2_TWIST1	1	1.0
GIPR	346	HCRTR1	31	GIPR_HCRTR1	1	1.0
p21	16739	p70 S6, 4E-BP1	1	p21_p70 S6, 4E-BP1	0	1.0
gamma-glutamyl transpeptidase	892	miR-155	5462	gamma-glutamyl transpeptidase_miR-155	1	1.0
GLT-1	1446	Rab7	898	GLT-1_Rab7	1	1.0
IGF1R-PI3K	11	PI3K	27411	IGF1R-PI3K_PI3K	2	1.0
hypoxia inducible factor-1	58	osteopontin	3749	hypoxia inducible factor-1_osteopontin	2	1.0
CD18	1478	DEC205	148	CD18_DEC205	1	1.0
activity regulated cytoskeletal-associated protein	5	peroxisome proliferator activated receptor gamma	93	activity regulated cytoskeletal-associated protein_peroxisome proliferator activated receptor gamma	1	1.0
THP-1	5514	cyclin B1	1864	THP-1_cyclin B1	1	1.0
DARPP-32	935	HDAC4	1390	DARPP-32_HDAC4	1	1.0
MLL4	174	Pax-Interacting Protein 1	1	MLL4_Pax-Interacting Protein 1	0	1.0
intracellular adhesion molecule 1	23	vascular endothelial (VE)-cadherin	99	intracellular adhesion molecule 1_vascular endothelial (VE)-cadherin	1	1.0
PPP2R2C	43	monocyte chemoattractant protein-1	2323	PPP2R2C_monocyte chemoattractant protein-1	1	1.0
LDL-c	809	Srebp-1c	78	LDL-c_Srebp-1c	1	1.0
activated Cdc42-associated kinase 1	5	p53	91998	activated Cdc42-associated kinase 1_p53	1	1.0
glial cell line-derived neurotrophic factor	604	neural cell adhesion molecule L1	21	glial cell line-derived neurotrophic factor_neural cell adhesion molecule L1	1	1.0
b-catenin	22664	miR-122	2684	b-catenin_miR-122	2	1.0
RSPO3	75	Wif1	123	RSPO3_Wif1	1	1.0
Prdm1	148	Rev1	372	Prdm1_Rev1	1	1.0
SDHA	576	TRA1	35	SDHA_TRA1	1	1.0
Cyclooxygenase (COX)-1	9	TNF-a	77800	Cyclooxygenase (COX)-1_TNF-a	0	1.0
CPT1	332	GPAT1	58	CPT1_GPAT1	1	1.0
alpha fetoprotein	192	pregnancy associated plasma protein-A	34	alpha fetoprotein_pregnancy associated plasma protein-A	1	1.0
CXCL10	4639	endothelial nitric oxide synthase	2574	CXCL10_endothelial nitric oxide synthase	1	1.0
carboxypeptidase A1	12	matrix metalloproteinase-2	1341	carboxypeptidase A1_matrix metalloproteinase-2	1	1.0
Akr1c18	10	Gpc3	11	Akr1c18_Gpc3	1	1.0
MyD88	6932	mLITAF	7	MyD88_mLITAF	1	1.0
Par-3	111	claudin-3, -5 and -7	1	Par-3_claudin-3, -5 and -7	0	1.0
Tnfaip2	6	Vcam1	49	Tnfaip2_Vcam1	0	1.0
Prrx2	13	chemerin	2234	Prrx2_chemerin	1	1.0
KCNH1	74	PTP-1C	2	KCNH1_PTP-1C	0	1.0
Glutathione S-Transferase P1	6	twist-related protein	1	Glutathione S-Transferase P1_twist-related protein	0	1.0
Protein phosphatase 1	24	Toll-like receptor 7	297	Protein phosphatase 1_Toll-like receptor 7	1	1.0
protein kinase C delta	59	tissue transglutaminase	557	protein kinase C delta_tissue transglutaminase	1	1.0
HMRE11A	1	TIN2	205	HMRE11A_TIN2	0	1.0
p85b	101	p85beta	15	p85b_p85beta	1	1.0
PDE8B	131	TP53	12522	PDE8B_TP53	1	1.0
AKT1	2126	Ubiquitin carboxyl terminal hydrolase 1	3	AKT1_Ubiquitin carboxyl terminal hydrolase 1	0	1.0
BRCA-1	120	hERG	3768	BRCA-1_hERG	1	1.0
Snail1/2	8	TWIST	471	Snail1/2_TWIST	1	1.0
IFNG	841	IL12p40	28	IFNG_IL12p40	1	1.0
CYLD	1203	deubiquitinating enzyme CYLD	5	CYLD_deubiquitinating enzyme CYLD	2	1.0
GH	16536	tenascin-C	864	GH_tenascin-C	1	1.0
Rip3	52	p65	10076	Rip3_p65	1	1.0
CYP11A1	697	cholesterol side-chain cleavage enzyme, P450scc	2	CYP11A1_cholesterol side-chain cleavage enzyme, P450scc	1	1.0
5a-reductase type 1, and matrix metalloproteinases (1, 3, and 9	1	interleukin-1 alpha	324	5a-reductase type 1, and matrix metalloproteinases (1, 3, and 9_interleukin-1 alpha	0	1.0
Hdc	58	mTOR	40038	Hdc_mTOR	2	1.0
CRMP-2	290	p75 neurotrophin receptor	216	CRMP-2_p75 neurotrophin receptor	1	1.0
Connexin 43	364	Protease Activated Receptor-1	5	Connexin 43_Protease Activated Receptor-1	1	1.0
GLUT-1	1351	HK II	60	GLUT-1_HK II	1	1.0
claudin-2	580	hCLDN16	11	claudin-2_hCLDN16	2	1.0
Perilipin	51	adipose triglyceride lipase	379	Perilipin_adipose triglyceride lipase	2	1.0
CCL3	1598	TNFR	708	CCL3_TNFR	1	1.0
IRF5	1158	XRCC1	3820	IRF5_XRCC1	1	1.0
intercellular adhesion molecule 1	567	major group rhinovirus receptor	1	intercellular adhesion molecule 1_major group rhinovirus receptor	0	1.0
PP2Ca	27	PPM1B	69	PP2Ca_PPM1B	1	1.0
MGMT	6011	MYB	1208	MGMT_MYB	1	1.0
IL-37	824	IL-5	5969	IL-37_IL-5	3	nan
PDGFrb	3	TGF-b	26450	PDGFrb_TGF-b	1	1.0
IGHV	888	LAG3	163	IGHV_LAG3	1	1.0
FOLR1	250	RFC	80	FOLR1_RFC	1	1.0
Wilms tumor protein 1-interacting protein	1	Wtip	32	Wilms tumor protein 1-interacting protein_Wtip	0	1.0
PP4	226	cellular FLICE-inhibiting protein	1	PP4_cellular FLICE-inhibiting protein	0	1.0
Fos	3582	Mafb	95	Fos_Mafb	1	1.0
ADAM10	2193	GPVI	801	ADAM10_GPVI	3	0.95138752606
PPARa	6339	glucagon-like peptide-1	2194	PPARa_glucagon-like peptide-1	3	0.95857532489
RECQ4	42	Sld2	71	RECQ4_Sld2	1	1.0
C/EBPb	2563	cyclin-dependent kinase 4	219	C/EBPb_cyclin-dependent kinase 4	1	1.0
Socs3	243	vascular endothelial growth factor A	753	Socs3_vascular endothelial growth factor A	1	1.0
BDCA3	114	immunoglobulin-like transcript 3	5	BDCA3_immunoglobulin-like transcript 3	1	1.0
ICAM1	731	TNFRSF1B	164	ICAM1_TNFRSF1B	1	1.0
VEGFR-3	1296	galectin-8	115	VEGFR-3_galectin-8	1	1.0
C-type natriuretic peptide	251	Neutral endopeptidase	25	C-type natriuretic peptide_Neutral endopeptidase	2	1.0
HOXA9	740	microRNA-21	766	HOXA9_microRNA-21	1	1.0
CD34	23899	PPAR-a	1187	CD34_PPAR-a	1	1.0
indoleamine  2,3-dioxygenase-1	1	tumor necrosis factor-a	6982	indoleamine  2,3-dioxygenase-1_tumor necrosis factor-a	0	1.0
IL-10	41564	NK1 receptor	345	IL-10_NK1 receptor	1	1.0
Skn7p	21	Trx2p	16	Skn7p_Trx2p	1	1.0
SEPT8	12	SEPT9	404	SEPT8_SEPT9	1	1.0
P60	254	transferrin	11703	P60_transferrin	1	1.0
t-PA	4144	von Willebrand factor	2932	t-PA_von Willebrand factor	31	6.26747955587e-14
LOX	2489	SLC7A5	105	LOX_SLC7A5	1	1.0
MMP-9	26323	calreticulin	1552	MMP-9_calreticulin	4	0.999217772514
GX sPLA(2)	31	LXR	1440	GX sPLA(2)_LXR	2	1.0
PRP	3495	epidermal growth factor	3227	PRP_epidermal growth factor	2	1.0
DNMT3B	1147	SHH	2507	DNMT3B_SHH	1	1.0
SUMO-1	547	xanthine oxidoreductase	248	SUMO-1_xanthine oxidoreductase	1	1.0
Insulin-like growth factor binding protein-3	39	transforming growth factor-b	1373	Insulin-like growth factor binding protein-3_transforming growth factor-b	1	1.0
AHCY	59	Fumarylacetoacetate hydrolase	4	AHCY_Fumarylacetoacetate hydrolase	0	1.0
Dlx5	421	sodium-glucose co-transporter 2	65	Dlx5_sodium-glucose co-transporter 2	1	1.0
cytochrome P-450, isozyme 5	1	cytochrome b5	361	cytochrome P-450, isozyme 5_cytochrome b5	0	1.0
microRNA-205	32	prostate-specific antigen	4765	microRNA-205_prostate-specific antigen	1	1.0
SP-B	887	activator protein 1	342	SP-B_activator protein 1	1	1.0
P glycoprotein	15	PGP	464	P glycoprotein_PGP	1	1.0
ERBB4	489	KLF6	735	ERBB4_KLF6	1	1.0
nuclear hormone receptor	2	vitamin D receptor, and retinoid receptors	1	nuclear hormone receptor_vitamin D receptor, and retinoid receptors	1	1.0
