HGNC:5	['A1BG']	['alpha-1-B glycoprotein']
HGNC:2019	['CLCN1', 'CLC1', 'ClC-1']	['chloride voltage-gated channel 1', 'Thomsen disease, autosomal dominant', 'chloride channel 1, skeletal muscle', 'chloride channel, voltage-sensitive 1']
HGNC:2021	['CLCN3', 'CLC3', 'ClC-3']	['chloride voltage-gated channel 3', 'chloride channel 3', 'chloride channel, voltage-sensitive 3']
HGNC:2022	['CLCN4', 'CLC4', 'ClC-4']	['chloride voltage-gated channel 4', 'chloride channel 4', 'chloride channel, voltage-sensitive 4']
HGNC:2024	['CLCN6', 'CLC-6', 'KIAA0046', 'ClC-6']	['chloride voltage-gated channel 6', 'chloride channel 6', 'chloride channel, voltage-sensitive 6']
HGNC:2026	['CLCNKA', 'hClC-Ka']	['chloride voltage-gated channel Ka', 'chloride channel Ka', 'chloride channel, voltage-sensitive Ka']
HGNC:2028	['CLCNL1']	['entry withdrawn']
HGNC:19257	['CLCP1']	['Charcot-Leyden crystal protein pseudogene 1']
HGNC:2032	['CLDN1', 'SEMP1', 'ILVASC']	['claudin 1', 'senescence-associated epithelial membrane protein 1']
HGNC:2045	['CLDN3', 'RVP1', 'CPE-R2', 'HRVP1', 'C7orf1', 'CPETR2']	['claudin 3', 'Clostridium perfringens enterotoxin receptor 2', 'ventral prostate.1-like protein', 'claudin-3', 'CPE-receptor 2']
HGNC:2047	['CLDN5', 'CPETRL1', 'BEC1', 'AWAL', 'TMVCF']	['claudin 5', 'transmembrane protein deleted in velocardiofacial syndrome']
HGNC:2049	['CLDN7', 'Hs.84359', 'CEPTRL2', 'CPETRL2']	['claudin 7']
HGNC:2051	['CLDN9']	['claudin 9']
HGNC:39907	['CLDN10-AS1']	['CLDN10 antisense RNA 1', 'CLDN10 antisense RNA 1 (non-protein coding)']
HGNC:29648	['CLDN11CL']	['entry withdrawn']
HGNC:2035	['CLDN14', 'DFNB29']	['claudin 14']
HGNC:2037	['CLDN16', 'PCLN1', 'HOMG3']	['claudin 16', 'paracellin-1', 'hypomagnesemia 3, with hypercalciuria and nephrocalcinosis']
HGNC:2039	['CLDN18', 'SFTPJ']	['claudin 18', 'surfactant associated protein J']
HGNC:2042	['CLDN20']	['claudin 20']
HGNC:17591	['CLDN23', 'CLDNL']	['claudin 23']
HGNC:37218	['CLDN25']	['claudin 25']
HGNC:1322	['CLDND1', 'C3orf4']	['claudin domain containing 1', 'chromosome 3 open reading frame 4']
HGNC:24355	['CLEC1A', 'CLEC1', 'MGC34328']	['C-type lectin domain family 1 member A', 'C-type lectin domain family 1, member A']
HGNC:24191	['CLEC2A', 'UNQ5792', 'INPE5792', 'KACL', 'PILAR']	['C-type lectin domain family 2 member A', 'keratinocyte-associated C-type lectin', 'proliferation-induced lymphocyte-associated receptor', 'C-type lectin domain family 2, member A']
HGNC:14351	['CLEC2D', 'LLT1', 'CLAX', 'OCIL']	['C-type lectin domain family 2 member D', 'C-type lectin related f', 'lectin-like transcript 1', 'C-type lectin superfamily 2, member D', 'C-type lectin domain family 2, member D']
HGNC:2052	['CLEC3A', 'CLECSF1']	['C-type lectin domain family 3 member A', 'C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 1 (cartilage-derived)', 'C-type lectin domain family 3, member A']
HGNC:13257	['CLEC4A', 'DCIR', 'DDB27', 'CD367', 'CLECSF6']	['C-type lectin domain family 4 member A', 'C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 6', 'C-type lectin domain family 4, member A']
HGNC:14554	['CLEC4D', 'Mpcl', 'CD368', 'CLECSF8']	['C-type lectin domain family 4 member D', 'C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 8', 'C-type lectin domain family 4, member D']
HGNC:25357	['CLEC4F', 'FLJ39110', 'KCLR', 'CLECSF13']	['C-type lectin domain family 4 member F', 'C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 13', 'C-type lectin domain family 4, member F']
HGNC:33502	['CLEC4GP1']	['C-type lectin domain family 4 member G pseudogene 1', 'C-type lectin domain family 4, member G pseudogene 1']
HGNC:2054	['CLEC5A', 'MDL-1', 'CLECSF5']	['C-type lectin domain family 5 member A', 'C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 5', 'C-type lectin domain family 5, member A']
HGNC:14558	['CLEC7A', 'dectin-1', 'hDectin-1', 'CD369', 'SCARE2', 'CLECSF12']	['C-type lectin domain family 7 member A', 'C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 12', 'C-type lectin domain family 7, member A']
HGNC:16916	['CLEC10A', 'HML2', 'HML', 'CD301', 'CLECSF13', 'CLECSF14']	['C-type lectin domain family 10 member A', 'macrophage lectin 2 (calcium dependent)', 'C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 14 (macrophage-derived)', 'C-type lectin domain family 10, member A']
HGNC:31713	['CLEC12A', 'CLL-1', 'MICL', 'CD371', 'DCAL-2']	['C-type lectin domain family 12 member A', 'dendritic cell-associated lectin 2', 'myeloid inhibitory C-type lectin-like receptor', 'C-type lectin domain family 12, member A']
HGNC:19832	['CLEC14A', 'C14orf27']	['C-type lectin domain family 14 member A', 'chromosome 14 open reading frame 27', 'C-type lectin domain family 14, member A']
HGNC:34520	['CLEC17A', 'FLJ45910']	['C-type lectin domain family 17 member A', 'prolectin', 'C-type lectin domain family 17, member A']
HGNC:33849	['CLEC18B']	['C-type lectin domain family 18 member B', 'C-type lectin domain family 18, member B']
HGNC:34522	['CLEC19A']	['C-type lectin domain family 19 member A', 'C-type lectin domain family 19, member A']
HGNC:2060	['CLGN']	['calmegin']
HGNC:2062	['CLIC1', 'NCC27', 'p64CLCP', 'G6']	['chloride intracellular channel 1']
HGNC:2063	['CLIC2', 'XAP121']	['chloride intracellular channel 2']
HGNC:13518	['CLIC4', 'DKFZP566G223', 'CLIC4L', 'P64H1', 'H1', 'huH1', 'p64H1']	['chloride intracellular channel 4']
HGNC:49798	['CLIC4P2']	['chloride intracellular channel 4 pseudogene 2']
HGNC:13517	['CLIC5', 'DFNB102']	['chloride intracellular channel 5']
HGNC:23186	['CLINT1', 'ENTH', 'KIAA0171', 'EPNR', 'CLINT']	['clathrin interactor 1']
HGNC:48586	['CLIP1-AS1']	['CLIP1 antisense RNA 1']
HGNC:24314	['CLIP3', 'CLIPR-59', 'RSNL1']	['CAP-Gly domain containing linker protein 3', 'CLIP-170-related', 'restin-like 1', 'CAP-GLY domain containing linker protein 3']
HGNC:2068	['CLK1']	['CDC like kinase 1', 'CDC-like kinase 1']
HGNC:2070	['CLK2P1', 'CLK2P']	['CDC like kinase 2, pseudogene 1', 'CDC-like kinase 2, pseudogene', 'CDC-like kinase 2, pseudogene 1']
HGNC:49785	['CLK3P1']	['CDC like kinase 3 pseudogene 1', 'CDC-like kinase 3 pseudogene 1']
HGNC:13659	['CLK4']	['CDC like kinase 4', 'CDC-like kinase 4']
HGNC:24070	['CLLU1OS']	['chronic lymphocytic leukemia up-regulated 1 opposite strand', 'chronic lymphocytic leukemia up-regulated 1 overlapping strand']
HGNC:24039	['CLMP', 'ASAM', 'FLJ22415', 'ACAM']	['CXADR like membrane protein', 'adipocyte-specific adhesion molecule', 'coxsackie- and adenovirus receptor-like membrane protein', 'adipocyte adhesion molecule']
HGNC:2076	['CLN5']	['ceroid-lipofuscinosis, neuronal 5']
HGNC:2079	['CLN8', 'FLJ39417', 'EPMR', 'C8orf61']	['ceroid-lipofuscinosis, neuronal 8', 'chromosome 8 open reading frame 61', 'epilepsy, progressive with mental retardation']
HGNC:17438	['CLNK', 'MIST']	['cytokine dependent hematopoietic cell linker', 'mast cell immunoreceptor signal transducer']
HGNC:2081	['CLNS1AP1', 'ICln', 'CLNS1B']	['chloride nucleotide-sensitive channel 1A pseudogene 1', 'chloride channel, nucleotide-sensitive, 1B', 'chloride channel, nucleotide-sensitive, 1A pseudogene 1']
HGNC:16999	['CLP1', 'HEAB', 'hClp1']	"['cleavage and polyadenylation factor I subunit 1', 'ATP/GTPbinding protein', ""polyribonucleotide 5'-hydroxyl-kinase"", 'CLP1, cleavage and polyadenylation factor I subunit, homolog (S. cerevisiae)']"
HGNC:2084	['CLPP']	['caseinolytic mitochondrial matrix peptidase proteolytic subunit', 'ATP-dependent protease ClpAP (E. coli), proteolytic subunit, human', 'ClpP (caseinolytic protease, ATP-dependent, proteolytic subunit, E. coli) homolog', 'ClpP caseinolytic protease, ATP-dependent, proteolytic subunit homolog (E. coli)', 'ClpP caseinolytic peptidase, ATP-dependent, proteolytic subunit homolog (E. coli)']
HGNC:21251	['CLPSL1', 'dJ510O8.6', 'C6orf127']	['colipase like 1', 'chromosome 6 open reading frame 127', 'colipase-like 1']
HGNC:2087	['CLPTM1']	['CLPTM1, transmembrane protein', 'cleft lip and palate associated transmembrane protein 1']
HGNC:49023	['CLPTM1LP1']	['CLPTM1L pseudogene 1']
HGNC:12605	['CLRN1', 'USH3', 'USH3A', 'RP61']	['clarin 1', 'Usher syndrome 3A']
HGNC:33939	['CLRN2']	['clarin 2']
HGNC:19715	['CLSPN']	['claspin', 'claspin homolog (Xenopus laevis)']
HGNC:17448	['CLSTN2', 'CSTN2', 'CS2', 'FLJ39113', 'CDHR13']	['calsyntenin 2', 'cadherin-related family member 13']
HGNC:18371	['CLSTN3', 'CSTN3', 'KIAA0726', 'CDHR14']	['calsyntenin 3', 'cadherin-related family member 14']
HGNC:2091	['CLTB', 'Lcb']	['clathrin light chain B', 'clathrin, light polypeptide (Lcb)', 'clathrin, light chain B']
HGNC:41321	['CLTC-IT1']	['entry withdrawn']
HGNC:2095	['CLU', 'SGP-2', 'SP-40', 'TRPM-2', 'KUB1', 'CLU1', 'CLU2', 'CLI', 'APOJ']	['clusterin', 'complement lysis inhibitor', 'sulfated glycoprotein 2', 'testosterone-repressed prostate message 2', 'apolipoprotein J', 'clusterin (complement lysis inhibitor, SP-40,40, sulfated glycoprotein 2, testosterone-repressed prostate message 2, apolipoprotein J)']
HGNC:29094	['CLUH', 'CLU1', 'KIAA0664']	['clustered mitochondria homolog', 'KIAA0664', 'clustered mitochondria (cluA/CLU1) homolog']
HGNC:38453	['CLUHP2', 'KIAA0664L2', 'KIAA0664P2']	['clustered mitochondria homolog pseudogene 2', 'KIAA0664-like 2', 'KIAA0664 pseudogene 2', 'clustered mitochondria (cluA/CLU1) homolog pseudogene 2']
HGNC:38470	['CLUHP4', 'KIAA0664L4', 'KIAA0664P4']	['clustered mitochondria homolog pseudogene 4', 'KIAA0664-like 4', 'KIAA0664 pseudogene 4', 'clustered mitochondria (cluA/CLU1) homolog pseudogene 4']
HGNC:51571	['CLUHP6']	['clustered mitochondria homolog pseudogene 6', 'clustered mitochondria (cluA/CLU1) homolog pseudogene 6']
HGNC:51573	['CLUHP8']	['clustered mitochondria homolog pseudogene 8', 'clustered mitochondria (cluA/CLU1) homolog pseudogene 8']
HGNC:51574	['CLUHP10']	['clustered mitochondria homolog pseudogene 10', 'clustered mitochondria (cluA/CLU1) homolog pseudogene 10']
HGNC:2096	['CLUL1']	['clusterin like 1', 'retinal clusterin-like protein', 'clusterin-like 1 (retinal)']
HGNC:23046	['CLVS2', 'bA160A10.4', 'C6orf212', 'C6orf213', 'RLBP1L2']	['clavesin 2', 'chromosome 6 open reading frame 212', 'chromosome 6 open reading frame 213', 'retinaldehyde binding protein 1-like 2']
HGNC:39893	['CLYBL-AS1']	['CLYBL antisense RNA 1', 'CLYBL antisense RNA 1 (non-protein coding)']
HGNC:39892	['CLYBL-IT1']	['entry withdrawn']
HGNC:2098	['CMAHP', 'CMAH']	['cytidine monophospho-N-acetylneuraminic acid hydroxylase, pseudogene', 'cytidine monophosphate-N-acetylneuraminic acid hydroxylase (CMP-N-acetylneuraminate monooxygenase)(pseudogene)']
HGNC:25090	['CMBL', 'FLJ23617']	['carboxymethylenebutenolidase homolog', 'carboxymethylenebutenolidase-like (Pseudomonas)', 'carboxymethylenebutenolidase homolog (Pseudomonas)']
HGNC:24447	['CMC2', 'DC13', 'MGC45036', 'C16orf61']	['C-X9-C motif containing 2', 'chromosome 16 open reading frame 61', 'COX assembly mitochondrial protein 2 homolog (S. cerevisiae)', 'C-x(9)-C motif containing 2']
HGNC:2102	['CMD1B', 'FDC']	['cardiomyopathy, dilated 1B (autosomal dominant)']
HGNC:2108	['CMD1H']	['cardiomyopathy, dilated 1H (autosomal dominant)']
HGNC:32552	['CMD1Q']	['cardiomyopathy, dilated 1Q (autosomal dominant)']
HGNC:2121	['CMKLR1', 'RVER1']	['chemerin chemokine-like receptor 1', 'resolvin E1 receptor', 'chemerin receptor', 'chemokine-like receptor 1']
HGNC:18170	['CMPK1', 'UMP-CMPK', 'CMPK']	['cytidine/uridine monophosphate kinase 1', 'UMP-CMP kinase', 'Cytidine monophosphate kinase', 'UMP/CMP kinase', 'cytidylate kinase', 'cytidine monophosphate (UMP-CMP) kinase 1, cytosolic']
HGNC:2126	['CMR1A']	['cardiomyopathy, restrictive 1A (autosomal dominant)']
HGNC:2128	['CMR3A']	['cardiomyopathy, restrictive 3A (X-linked)']
HGNC:2129	['CMT1A', 'HMSNIA']	['Charcot-Marie-Tooth neuropathy 1A (greatly reduced nerve conduction velocity, hereditary motor sensory neuropathy Ia)']
HGNC:19172	['CMTM1', 'CKLFH1a', 'CKLFH', 'CKLFSF1']	['CKLF like MARVEL transmembrane domain containing 1', 'chemokine-like factor super family 1', 'chemokine-like factor superfamily 1', 'CKLF-like MARVEL transmembrane domain containing 1']
HGNC:19174	['CMTM3', 'FLJ31762', 'BNAS2', 'CKLFSF3']	['CKLF like MARVEL transmembrane domain containing 3', 'chemokine-like factor superfamily 3', 'CKLF-like MARVEL transmembrane domain containing 3']
HGNC:19176	['CMTM5', 'FLJ37521', 'CKLFSF5']	['CKLF like MARVEL transmembrane domain containing 5', 'chemokine-like factor super family 5', 'chemokine-like factor superfamily 5', 'CKLF-like MARVEL transmembrane domain containing 5']
HGNC:19178	['CMTM7', 'FLJ30992', 'CKLFSF7']	['CKLF like MARVEL transmembrane domain containing 7', 'chemokine-like factor super family 7', 'chemokine-like factor superfamily 7', 'CKLF-like MARVEL transmembrane domain containing 7']
HGNC:21077	['CMTR1', 'MTr1', 'ISG95', 'KIAA0082', 'FTSJD2']	['cap methyltransferase 1', 'KIAA0082', 'FtsJ methyltransferase domain containing 2']
HGNC:2137	['CMTX2']	['Charcot-Marie-Tooth neuropathy, X-linked 2 (recessive)']
HGNC:14305	['CMYA5', 'myospryn', 'SPRYD2', 'DKFZp451G223', 'TRIM76', 'C5orf10']	['cardiomyopathy associated 5', 'genethonin-3', 'tripartite motif-containing 76', 'chromosome 5 open reading frame 10']
HGNC:26663	['CNBD1', 'FLJ35802']	['cyclic nucleotide binding domain containing 1']
HGNC:13164	['CNBP', 'RNF163', 'ZCCHC22', 'CNBP1', 'DM2', 'ZNF9']	['CCHC-type zinc finger nucleic acid binding protein', 'zinc finger protein 9 (a cellular retroviral nucleic acid binding protein)', 'zinc finger protein 9', 'CCHC-type zinc finger, nucleic acid binding protein']
HGNC:20675	['CNDP1', 'MGC10825', 'CN1', 'CPGL2', 'HsT2308']	['carnosine dipeptidase 1', 'carnosinase 1', 'glutamate carboxypeptidase-like protein 2', 'beta-Ala-His dipeptidase', 'carnosine dipeptidase 1 (metallopeptidase M20 family)']
HGNC:26759	['CNEP1R1', 'FLJ38101', 'NEP1-R1', 'C16orf69', 'TMEM188']	['CTD nuclear envelope phosphatase 1 regulatory subunit 1', 'nuclear envelope phosphatase 1-regulatory subunit 1', 'chromosome 16 open reading frame 69', 'transmembrane protein 188']
HGNC:2148	['CNGA1', 'RCNC1', 'RCNCa', 'CNG1', 'RP49', 'CNCG1', 'CNCG']	['cyclic nucleotide gated channel alpha 1']
HGNC:2150	['CNGA3', 'CCNC1', 'CCNCa', 'CNG3', 'CNCG3', 'ACHM2']	['cyclic nucleotide gated channel alpha 3']
HGNC:2151	['CNGB1', 'RCNC2', 'RCNCb', 'GARP', 'GAR1', 'CNGB1B', 'RP45', 'CNCG2', 'CNCG3L']	['cyclic nucleotide gated channel beta 1', 'glutamic acid-rich protein']
HGNC:19431	['CNIH1', 'TGAM77', 'CNIL', 'CNIH']	['cornichon family AMPA receptor auxiliary protein 1', 'cornichon homolog (Drosophila)']
HGNC:26802	['CNIH3', 'FLJ38993', 'CNIH-3']	['cornichon family AMPA receptor auxiliary protein 3', 'cornichon homolog 3 (Drosophila)']
HGNC:19700	['CNKSR1', 'CNK1', 'KSR', 'CNK']	['connector enhancer of kinase suppressor of Ras 1']
HGNC:23034	['CNKSR3', 'FLJ31349', 'MAGI1']	['CNKSR family member 3', 'membrane associated guanylate kinase interacting protein-like 1']
HGNC:2155	['CNN1', 'SMCC', 'Sm-Calp']	['calponin 1', 'calponin 1, basic, smooth muscle']
HGNC:39526	['CNN2P1']	['calponin 2 pseudogene 1']
HGNC:39528	['CNN2P3']	['calponin 2 pseudogene 3']
HGNC:39531	['CNN2P6']	['calponin 2 pseudogene 6']
HGNC:39533	['CNN2P8']	['calponin 2 pseudogene 8']
HGNC:39535	['CNN2P10']	['calponin 2 pseudogene 10']
HGNC:39834	['CNN2P12']	['calponin 2 pseudogene 12']
HGNC:38666	['CNN3P1']	['calponin 3 pseudogene 1', 'calponin 3, acidic pseudogene 1']
HGNC:103	['CNNM2', 'ACDP2']	['cyclin and CBS domain divalent metal cation transport mediator 2', 'cyclin M2']
HGNC:105	['CNNM4', 'KIAA1592', 'ACDP4']	['cyclin and CBS domain divalent metal cation transport mediator 4', 'cyclin M4']
HGNC:7878	['CNOT2', 'CDC36', 'NOT2H', 'NOT2']	['CCR4-NOT transcription complex subunit 2', 'CCR4-NOT transcription complex, subunit 2']
HGNC:7880	['CNOT4', 'CLONE243', 'NOT4H', 'NOT4']	['CCR4-NOT transcription complex subunit 4', 'CCR4-NOT transcription complex, subunit 4']
HGNC:14100	['CNOT5']	['entry withdrawn']
HGNC:18042	['CNOT6L', 'DKFZp434K098', 'Ccr4b']	['CCR4-NOT transcription complex subunit 6 like', 'CCR4-NOT transcription complex, subunit 6-like']
HGNC:14101	['CNOT7', 'CAF1']	['CCR4-NOT transcription complex subunit 7', 'BTG1 binding factor 1', 'CCR4-NOT transcription complex, subunit 7']
HGNC:44249	['CNOT7P2']	['CCR4-NOT transcription complex subunit 7 pseudogene 2', 'CCR4-NOT transcription complex, subunit 7 pseudogene 2']
HGNC:10445	['CNOT9', 'RCD1', 'RCD1+', 'CT129', 'CAF40', 'RQCD1']	['CCR4-NOT transcription complex subunit 9', 'cancer/testis antigen 129', 'rcd1 (required for cell differentiation, S.pombe) homolog 1', 'RCD1 required for cell differentiation1 homolog (S. pombe)']
HGNC:41031	['CNOT10-AS1']	['CNOT10 antisense RNA 1', 'CNOT10 antisense RNA 1 (non-protein coding)']
HGNC:2158	['CNP']	"[""2',3'-cyclic nucleotide 3' phosphodiesterase""]"
HGNC:27786	['CNPY1']	['canopy FGF signaling regulator 1', 'canopy 1 homolog (zebrafish)']
HGNC:11968	['CNPY3', 'CAG4A', 'TNRC5']	['canopy FGF signaling regulator 3', 'trinucleotide repeat containing 5', 'canopy 3 homolog (zebrafish)']
HGNC:2159	['CNR1', 'CB1K5', 'CB-R', 'CB1', 'CANN6', 'CB1A', 'CNR']	['cannabinoid receptor 1', 'cannabinoid receptor 1 (brain)']
HGNC:24546	['CNRIP1', 'DKFZP566K1924', 'CRIP1', 'CRIP1a', 'CRIP1b', 'C2orf32']	['cannabinoid receptor interacting protein 1', 'chromosome 2 open reading frame 32']
HGNC:26847	['CNTD1', 'FLJ40137', 'CNTD']	['cyclin N-terminal domain containing 1', 'cyclin N-terminal domain containing']
HGNC:2169	['CNTF', 'HCNTF']	['ciliary neurotrophic factor']
HGNC:48712	['CNTFR-AS1']	['CNTFR antisense RNA 1']
HGNC:2171	['CNTN1', 'F3', 'GP135']	['contactin 1', 'glycoprotein gP135']
HGNC:2173	['CNTN3', 'BIG-1', 'PANG']	['contactin 3', 'contactin 3 (plasmacytoma associated)']
HGNC:39985	['CNTN4-AS1']	['CNTN4 antisense RNA 1', 'CNTN4 antisense RNA 1 (non-protein coding)']
HGNC:2175	['CNTN5', 'NB-2', 'hNB-2']	['contactin 5']
HGNC:8011	['CNTNAP1', 'p190', 'Caspr', 'CNTNAP', 'NRXN4']	['contactin associated protein 1', 'neurexin 4']
HGNC:13834	['CNTNAP3', 'CASPR3', 'KIAA1714', 'FLJ14195', 'CNTNAP3A']	['contactin associated protein-like 3', 'cell recognition molecule CASPR3 (FLJ14195, KIAA1714)']
HGNC:49591	['CNTNAP3P1']	['contactin associated protein-like 3 pseudogene 1']
HGNC:49580	['CNTNAP3P3']	['contactin associated protein-like 3 pseudogene 3']
HGNC:49588	['CNTNAP3P5']	['contactin associated protein-like 3 pseudogene 5']
HGNC:49585	['CNTNAP3P7']	['contactin associated protein-like 3 pseudogene 7']
HGNC:49587	['CNTNAP3P9']	['contactin associated protein-like 3 pseudogene 9']
HGNC:18748	['CNTNAP5', 'caspr5', 'FLJ31966']	['contactin associated protein like 5', 'contactin associated protein-like 5']
HGNC:29616	['CNTROB', 'LIP8', 'PP1221']	['centrobin, centriole duplication and spindle assembly protein', 'centrobin', 'centrobin, centrosomal BRCA2 interacting protein']
HGNC:24990	['COA3', 'HSPC009', 'MITRAC12', 'COX25', 'CCDC56']	['cytochrome c oxidase assembly factor 3', 'coiled-coil domain containing 56']
HGNC:33848	['COA5', 'MGC52110', 'FLJ27524', 'Pet191', 'C2orf64']	['cytochrome c oxidase assembly factor 5', 'chromosome 2 open reading frame 64']
HGNC:25716	['COA7', 'FLJ12439', 'RESA1', 'C1orf163', 'SELRC1']	['cytochrome c oxidase assembly factor 7 (putative)', 'respiratory chain assembly 1', 'chromosome 1 open reading frame 163', 'Sel1 repeat containing 1', 'cytochrome c oxidase assembly factor 7']
HGNC:22199	['COBL', 'KIAA0633']	['cordon-bleu WH2 repeat protein', 'cordon-bleu homolog (mouse)']
HGNC:2180	['COCH', 'COCH-5B2', 'DFNA31', 'DFNA9']	['cochlin', 'coagulation factor C (Limulus polyphemus homolog); cochlin', 'coagulation factor C homolog, cochlin (Limulus polyphemus)']
HGNC:6545	['COG1', 'KIAA1381', 'LDLB']	['component of oligomeric golgi complex 1', 'low density lipoprotein receptor defect B complementing']
HGNC:18619	['COG3', 'SEC34']	['component of oligomeric golgi complex 3']
HGNC:14857	['COG5', 'GTC90', 'GOLTC1']	['component of oligomeric golgi complex 5', 'golgi transport complex 1 (90 kDa subunit)']
HGNC:18622	['COG7']	['component of oligomeric golgi complex 7']
HGNC:2184	['COIL', 'CLN80', 'p80-coilin']	['coilin']
HGNC:25389	['COILP2']	['coilin pseudogene 2']
HGNC:2198	['COL1A2', 'OI4']	['collagen type I alpha 2 chain', 'alpha 2(I)-collagen', 'alpha-2 collagen type I', 'type I procollagen', 'collagen I, alpha-2 polypeptide', 'collagen of skin, tendon and bone, alpha-2 chain', 'osteogenesis imperfecta type IV', 'collagen, type I, alpha 2', 'collagen type I alpha 2']
HGNC:2200	['COL2A1', 'STL1', 'SEDC', 'AOM']	['collagen type II alpha 1 chain', 'collagen, type II, alpha 1 (primary osteoarthritis, spondyloepiphyseal dysplasia, congenital)', 'arthroophthalmopathy, progressive (Stickler syndrome)', 'collagen, type II, alpha 1', 'collagen type II alpha 1']
HGNC:2202	['COL4A1']	['collagen type IV alpha 1 chain', 'collagen, type IV, alpha 1']
HGNC:40156	['COL4A2-AS1']	['COL4A2 antisense RNA 1', 'COL4A2 antisense RNA 1 (non-protein coding)']
HGNC:2204	['COL4A3']	['collagen type IV alpha 3 chain', 'tumstatin', 'collagen, type IV, alpha 3 (Goodpasture antigen)']
HGNC:2206	['COL4A4', 'CA44']	['collagen type IV alpha 4 chain', 'collagen of basement membrane, alpha-4 chain', 'collagen, type IV, alpha 4']
HGNC:2208	['COL4A6']	['collagen type IV alpha 6 chain', 'collagen, type IV, alpha 6']
HGNC:31368	['COL5A1-AS1', 'bA54A22.4', 'C9orf104']	['COL5A1 antisense RNA 1', 'chromosome 9 open reading frame 104', 'COL5A1 antisense RNA 1 (non-protein coding)']
HGNC:14864	['COL5A3']	['collagen type V alpha 3 chain', 'collagen type V alpha 3']
HGNC:2212	['COL6A2']	['collagen type VI alpha 2 chain', 'collagen type VI alpha 2']
HGNC:33484	['COL6A4P1', 'VWA6', 'DIVA', 'COL6A4', 'COL6A4P', 'DVWA']	['collagen type VI alpha 4 pseudogene 1', 'von Willebrand factor A domain containing 6', 'collagen, type VI, alpha 4', 'collagen, type VI, alpha 4, pseudogene', 'dual von Willebrand factor A domains', 'collagen, type VI, alpha 4 pseudogene 1']
HGNC:26674	['COL6A5', 'FLJ35880', 'VWA4', 'COL29A1']	['collagen type VI alpha 5 chain', 'von Willebrand factor A domain containing 4', 'collagen, type XXIX, alpha 1', 'collagen, type VI, alpha 5', 'collagen type VI alpha 5']
HGNC:2214	['COL7A1', 'EBDCT', 'EBD1', 'EBR1']	['collagen type VII alpha 1 chain', 'collagen VII, alpha-1 polypeptide', 'LC collagen', 'epidermolysis bullosa, dystrophic, dominant and recessive', 'collagen, type VII, alpha 1']
HGNC:2216	['COL8A2', 'PPCD', 'FECD1', 'PPCD2', 'FECD']	['collagen type VIII alpha 2 chain', 'collagen, type VIII, alpha 2', 'collagen type VIII alpha 2']
HGNC:2218	['COL9A2', 'MED', 'EDM2']	['collagen type IX alpha 2 chain', 'collagen, type IX, alpha 2']
HGNC:2185	['COL10A1']	['collagen type X alpha 1 chain', 'Schmid metaphyseal chondrodysplasia', 'collagen, type X, alpha 1']
HGNC:2187	['COL11A2', 'HKE5', 'DFNA13', 'DFNB53']	['collagen type XI alpha 2 chain', 'collagen, type XI, alpha 2']
HGNC:2188	['COL12A1', 'COL12A1L']	['collagen type XII alpha 1 chain', 'collagen type XII proteoglycan', 'collagen, type XII, alpha 1-like', 'collagen, type XII, alpha 1']
HGNC:2191	['COL14A1', 'UND']	['collagen type XIV alpha 1 chain', 'undulin', 'collagen, type XIV, alpha 1']
HGNC:2193	['COL16A1']	['collagen type XVI alpha 1 chain', 'collagen, type XVI, alpha 1']
HGNC:2195	['COL18A1', 'KS', 'KNO1', 'KNO']	['collagen type XVIII alpha 1 chain', 'endostatin', 'Knobloch syndrome, type 1', 'collagen, type XVIII, alpha 1']
HGNC:40155	['COL18A1-AS2']	['COL18A1 antisense RNA 2', 'COL18A1 antisense RNA 2 (non-protein coding)']
HGNC:14670	['COL20A1', 'KIAA1510']	['collagen type XX alpha 1 chain', 'collagen, type XX, alpha 1']
HGNC:22989	['COL22A1']	['collagen type XXII alpha 1 chain', 'collagen, type XXII, alpha 1']
HGNC:20821	['COL24A1']	['collagen type XXIV alpha 1 chain', 'collagen, type XXIV, alpha 1']
HGNC:18038	['COL26A1', 'Emu2', 'EMI6', 'EMID2']	['collagen type XXVI alpha 1 chain', 'Emu2 gene', 'EMI domain containing 2', 'collagen, type XXVI, alpha 1']
HGNC:22442	['COL28A1']	['collagen type XXVIII alpha 1 chain', 'collagen, type XXVIII, alpha 1']
HGNC:26978	['COLCA2', 'CASC13', 'C11orf93']	['colorectal cancer associated 2', 'cancer susceptibility candidate 13', 'chromosome 11 open reading frame 93']
HGNC:17213	['COLEC11', 'MGC3279', 'CL-K1']	['collectin subfamily member 11', 'Collectin K1']
HGNC:26182	['COLGALT1', 'FLJ22329', 'GLT25D1']	['collagen beta(1-O)galactosyltransferase 1', 'Procollagen galactosyltransferase', 'glycosyltransferase 25 domain containing 1']
HGNC:2225	['COLOT1']	['entry withdrawn']
